scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N700_MNARmod_outcome_misspec_ALT,700,MNARmod,outcome_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.05316423871745285,0.015298681448156609,0.2471938513341239,0.01101434778010831,0.924,0.016759952267235128,,,0.7008171428571428,0.3492600403840102,0.7296064642378246,0.9239095162714674,2.9589253399530913,476.4229968584006,0.0
N700_MNARmod_outcome_misspec_ALT,700,MNARmod,outcome_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.033153519390280675,0.011902046840635516,0.19071490995235663,0.008183579432449696,0.932,0.01592180894245374,,,0.7008171428571428,0.3492600403840102,0.7296064642378246,0.9239095162714674,2.9589253399530913,476.4229968584006,0.0
N700_MNARmod_outcome_misspec_NULL,700,MNARmod,outcome_misspec,True,0.0,0.0,CC,250,0.0,-0.0724124815877329,0.012127174427189963,0.20460593595245183,0.008783201590553222,0.94,0.015019986684414876,0.06,0.01501998668441487,0.7125371428571429,,,,,,
N700_MNARmod_outcome_misspec_NULL,700,MNARmod,outcome_misspec,True,0.0,0.0,OM,250,0.0,-0.06788476550106791,0.011707927365366943,0.19682519305749277,0.00818155917179378,0.936,0.01547953487673321,0.064,0.015479534876733215,0.7125371428571429,,,,,,
N700_MNARmod_outcome_misspec_NULL,700,MNARmod,outcome_misspec,True,0.0,0.0,IPW,250,0.0,-0.07088173053670462,0.014268541801572165,0.2360475581838072,0.010134113671482323,0.944,0.014541526742402262,0.056,0.014541526742402257,0.7125371428571429,0.37380080972110113,0.7394082760170657,0.9240468265765386,2.774827791623327,486.28123262465454,0.0
N700_MNARmod_outcome_misspec_NULL,700,MNARmod,outcome_misspec,True,0.0,0.0,AIPW,250,0.0,-0.06986147452839518,0.01187342265425681,0.1999604681916146,0.008346745618761161,0.924,0.016759952267235128,0.076,0.01675995226723513,0.7125371428571429,0.37380080972110113,0.7394082760170657,0.9240468265765386,2.774827791623327,486.28123262465454,0.0
N700_MNARstrong_both_misspec_ALT,700,MNARstrong,both_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.20251759663517585,0.01193205747041291,0.2765221543036284,0.01092268838070774,0.84,0.023186202793903102,,,0.6510571428571428,,,,,,
N700_MNARstrong_both_misspec_ALT,700,MNARstrong,both_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.1652288739179362,0.01152351083965967,0.2456941492833234,0.010616827989908257,0.888,0.0199455258140767,,,0.6510571428571428,,,,,,
N700_MNARstrong_both_misspec_ALT,700,MNARstrong,both_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.19459532465403068,0.014433946839553492,0.29957254029300584,0.012060092907101244,0.868,0.021408035874409405,,,0.6510571428571428,0.44238339590373665,0.6627299943430693,0.7891296049711779,2.315187321306549,450.7154720290865,0.0
N700_MNARstrong_both_misspec_ALT,700,MNARstrong,both_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.16781598773278703,0.011392131962950526,0.24592192406003452,0.010530244996734788,0.876,0.02084456763763643,,,0.6510571428571428,0.44238339590373665,0.6627299943430693,0.7891296049711779,2.315187321306549,450.7154720290865,0.0
